Latitude,Longitude,Elevation
51.20712000,-115.601100,1666.0
51.20714000,-115.601120,1665.0
51.20717000,-115.601150,1665.0
51.20720000,-115.601150,1665.0
51.20723000,-115.601180,1664.0
51.20726000,-115.601200,1664.0
51.20729000,-115.601230,1664.0
51.20732000,-115.601240,1664.0
51.20735000,-115.601260,1664.0
51.20739000,-115.601290,1664.0
51.20742000,-115.601320,1664.0
51.20745000,-115.601340,1664.0
51.20747000,-115.601360,1664.0
51.20750000,-115.601380,1664.0
51.20754000,-115.601400,1663.0
51.20757000,-115.601420,1663.0
51.20760000,-115.601440,1663.0
51.20763000,-115.601460,1663.0
51.20766000,-115.601470,1662.0
51.20769000,-115.601490,1662.0
51.20771000,-115.601500,1662.0
51.20774000,-115.601500,1662.0
51.20778000,-115.601510,1662.0
51.20781000,-115.601510,1662.0
51.20784000,-115.601510,1662.0
51.20786000,-115.601510,1662.0
51.20789000,-115.601510,1661.0
51.20793000,-115.601510,1661.0
51.20797000,-115.601490,1662.0
51.20800000,-115.601490,1662.0
51.20804000,-115.601500,1661.0
51.20807000,-115.601490,1661.0
51.20810000,-115.601470,1661.0
51.20811000,-115.601420,1662.0
51.20813000,-115.601370,1662.0
51.20815000,-115.601420,1662.0
51.20816000,-115.601480,1661.0
51.20817000,-115.601540,1660.0
51.20820000,-115.601570,1660.0
51.20825000,-115.601570,1659.0
51.20829000,-115.601590,1659.0
51.20832000,-115.601610,1658.0
51.20836000,-115.601620,1658.0
51.20839000,-115.601620,1658.0
51.20842000,-115.601620,1658.0
51.20846000,-115.601620,1658.0
51.20849000,-115.601620,1658.0
51.20852000,-115.601650,1657.0
51.20855000,-115.601660,1657.0
51.20859000,-115.601680,1657.0
51.20863000,-115.601690,1656.0
51.20866000,-115.601710,1656.0
51.20869000,-115.601730,1655.0
51.20871000,-115.601760,1655.0
51.20874000,-115.601810,1655.0
51.20876000,-115.601850,1654.0
51.20879000,-115.601880,1654.0
51.20882000,-115.601890,1653.0
51.20885000,-115.601950,1653.0
51.20887000,-115.601990,1653.0
51.20889000,-115.601920,1653.0
51.20892000,-115.601930,1652.0
51.20895000,-115.601940,1652.0
51.20899000,-115.601950,1652.0
51.20903000,-115.601960,1652.0
51.20901000,-115.601920,1652.0
51.20904000,-115.601930,1652.0
51.20908000,-115.601920,1652.0
51.20911000,-115.601920,1652.0
51.20915000,-115.601920,1652.0
51.20918000,-115.601930,1651.0
51.20921000,-115.601940,1651.0
51.20924000,-115.601940,1651.0
51.20927000,-115.601960,1651.0
51.20930000,-115.601990,1651.0
51.20932000,-115.602050,1651.0
51.20931000,-115.602140,1651.0
51.20929000,-115.602170,1651.0
51.20929000,-115.602130,1651.0
51.20933000,-115.602100,1651.0
51.20936000,-115.602060,1651.0
51.20940000,-115.602050,1651.0
51.20943000,-115.602040,1651.0
51.20946000,-115.602040,1650.0
51.20949000,-115.602040,1650.0
51.20951000,-115.602040,1649.0
51.20955000,-115.602060,1649.0
51.20958000,-115.602070,1648.0
51.20961000,-115.602050,1648.0
51.20964000,-115.602030,1647.0
51.20966000,-115.602000,1647.0
51.20971000,-115.602030,1646.0
51.20972000,-115.602080,1646.0
51.20974000,-115.602120,1645.0
51.20977000,-115.602160,1644.0
51.20981000,-115.602180,1644.0
51.20983000,-115.602190,1643.0
51.20985000,-115.602230,1643.0
51.20988000,-115.602270,1642.0
51.20989000,-115.602310,1642.0
51.20991000,-115.602340,1642.0
51.20995000,-115.602350,1641.0
51.20998000,-115.602370,1641.0
51.21001000,-115.602410,1640.0
51.21003000,-115.602460,1639.0
51.21003000,-115.602510,1640.0
51.21001000,-115.602550,1640.0
51.20998000,-115.602570,1641.0
51.20994000,-115.602640,1642.0
51.20992000,-115.602680,1643.0
51.20988000,-115.602720,1644.0
51.20986000,-115.602760,1644.0
51.20985000,-115.602810,1645.0
51.20985000,-115.602880,1645.0
51.20985000,-115.602940,1645.0
51.20987000,-115.602980,1644.0
51.20989000,-115.603030,1644.0
51.20991000,-115.603070,1643.0
51.20993000,-115.603100,1643.0
51.20996000,-115.603150,1643.0
51.20997000,-115.603190,1643.0
51.20999000,-115.603240,1642.0
51.21003000,-115.603290,1642.0
51.21006000,-115.603300,1642.0
51.21010000,-115.603320,1641.0
51.21014000,-115.603330,1641.0
51.21017000,-115.603340,1641.0
51.21021000,-115.603340,1640.0
51.21025000,-115.603340,1640.0
51.21028000,-115.603340,1640.0
51.21031000,-115.603360,1640.0
51.21035000,-115.603390,1640.0
51.21038000,-115.603410,1640.0
51.21041000,-115.603420,1639.0
51.21045000,-115.603420,1639.0
51.21048000,-115.603430,1639.0
51.21050000,-115.603460,1639.0
51.21053000,-115.603500,1640.0
51.21055000,-115.603530,1640.0
51.21058000,-115.603540,1640.0
51.21062000,-115.603540,1640.0
